anio,mes,folio,asesor,monto,diputado,tipo_informe,doc,formulario
2018,3,5674,CAROLINA CODOCEO OYANGUREN,700000,Ricardo Célis Araya,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18101,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5674&prmFecha=201803
2018,3,5680,ASESORIAS CRISTINA ZUÑIGA PAREDES EIRL,700000,Daniella Cicardini Milla,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18108,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5680&prmFecha=201803
2018,3,5732,CLAUDIO ANDRÉS TOLEDO DÍAZ,700000,Sofía Cid Versalovic,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18180,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5732&prmFecha=201803
2018,3,5678,FUNDACION JAIME GUZMAN,350000,Juan Antonio Coloma Alamos,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18106,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5678&prmFecha=201803
2018,3,5668,MARCELO ANDRÉS PÉREZ QUILAQUEO,700000,Miguel Crispi Serrano,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18092,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5668&prmFecha=201803
2018,3,5692,MICHELLE ENRIQUETA ONFRAY VIVANCO,700000,Catalina Del Real Mihovilovic,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18122,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5692&prmFecha=201803
2018,3,5695,FELIPE EDUARDO MEDINA  MALDONADO,430000,Marcelo Díaz Díaz,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18125,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5695&prmFecha=201803
2018,3,5705,ALVARO RENATO UNDURRAGA JULIO,700000,Eduardo Durán Salinas,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18139,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5705&prmFecha=201803
2018,3,5694,PAMELA ANDREA OLAVARRÍA PONTICAS,700000,Francisco Eguiguren Correa,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18124,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5694&prmFecha=201803
2018,3,5664,JAVIER SANCHEZ REYES,700000,Fidel Espinoza Sandoval,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18086,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5664&prmFecha=201803
2018,3,5672,ASESORIAS CRISTINA ZUÑIGA PAREDES EIRL,500000,Maya Fernández Allende,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18099,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5672&prmFecha=201803
2018,3,5637,FUNDACION JAIME GUZMAN,500000,Juan Fuenzalida Cobo,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18059,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5637&prmFecha=201803
2018,3,5638,FUNDACION JAIME GUZMAN,500000,Sergio Gahona Salazar,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18060,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5638&prmFecha=201803
2018,3,5708,STEFANY ANDREA GÓMEZ CONTRERAS,700000,Ramón Galleguillos Castillo,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18145,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5708&prmFecha=201803
2018,3,5663,IVAN LUIS OYARZUN ACUÑA,700000,Cristina Girardi Lavín,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18085,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5663&prmFecha=201803
2018,3,5658,"SOCIEDAD CENTRO DE ESTUDIOS LEGISLATIVOS, ADMINISTRATIVOS, POLITICOS Y ECONOMICOS",700000,Rodrigo González Torres,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18080,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5658&prmFecha=201803
2018,3,5686,INSTITUTO DE CIENCIAS ALEJANDRO LIPSCHUTZ (ICAL),700000,Hugo Gutiérrez Gálvez,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18114,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5686&prmFecha=201803
2018,3,5639,FUNDACION JAIME GUZMAN,700000,Javier Hernández Hernández,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18061,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5639&prmFecha=201803
2018,3,5704,YANINNA MATURANA AGUIRRE,700000,Marcela Hernando Pérez,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18138,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5704&prmFecha=201803
2018,3,5655,FUNDACION JAIME GUZMAN,400000,María José Hoffmann Opazo,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18077,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5655&prmFecha=201803
2018,3,5679,JOSÉ CARLOS MEZA PEREIRA,300000,María José Hoffmann Opazo,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18107,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5679&prmFecha=201803
2018,3,5693,FABIOLA BEATRIZ RIVAS MIRANDA,700000,Marcos Ilabaca Cerda,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18123,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5693&prmFecha=201803
2018,3,5685,MARIA FERNANDA DIAZ VIDAL,100000,Giorgio Jackson Drago,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18113,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5685&prmFecha=201803
2018,3,5701,HUGO MONTES SORO,600000,Giorgio Jackson Drago,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18135,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5701&prmFecha=201803
2018,3,5669,MARCO ZEPEDA RISSO,700000,Pamela Jiles Moreno,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18094,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5669&prmFecha=201803
2018,3,5640,FUNDACION JAIME GUZMAN,500000,Issa Kort Garriga,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18062,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5640&prmFecha=201803
2018,3,5660,INSTITUTO DE CIENCIAS ALEJANDRO LIPSCHUTZ (ICAL),700000,Amaro Labra Sepúlveda,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18082,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5660&prmFecha=201803
2018,3,5653,FUNDACION JAIME GUZMAN,700000,Joaquín Lavín León,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18075,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5653&prmFecha=201803
2018,3,5688,ASESORIAS CRISTINA ZUÑIGA PAREDES EIRL,700000,Raúl Leiva Carvajal,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18117,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5688&prmFecha=201803
2018,3,5691,LEONARDO BRUNO CONTRERAS NEIRA,700000,Andrés Longton Herrera,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18121,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5691&prmFecha=201803
2018,3,5702,PAMELA ANDREA OLAVARRÍA PONTICAS,700000,Karin Luck Urban,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18136,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5702&prmFecha=201803
2018,3,5654,FUNDACION JAIME GUZMAN,700000,Javier Macaya Danús,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18076,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5654&prmFecha=201803
2018,3,5641,FUNDACION JAIME GUZMAN,500000,Patricio Melero Abaroa,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18063,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5641&prmFecha=201803
2018,3,5656,FUNDACION JAIME GUZMAN,700000,Celso Morales Muñoz,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18078,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5656&prmFecha=201803
2018,3,5642,FUNDACION JAIME GUZMAN,500000,Cristhian Moreira Barros,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18064,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5642&prmFecha=201803
2018,3,5643,FUNDACION JAIME GUZMAN,500000,Nicolás Noman Garrido,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18065,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5643&prmFecha=201803
2018,3,5644,FUNDACION JAIME GUZMAN,700000,Iván Norambuena Farías,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18066,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5644&prmFecha=201803
2018,3,5768,EKHOS SPA,700000,Maite Orsini Pascal,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18219,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5768&prmFecha=201803
2018,3,5675,LORENA GAETE ZUÑIGA,700000,José Miguel Ortiz Novoa,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18102,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5675&prmFecha=201803
2018,3,5645,FUNDACION JAIME GUZMAN,700000,Guillermo Ramírez Diez,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18067,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5645&prmFecha=201803
2018,3,5673,FRANCISCO CARRASCO MANQUILEPE,700000,Jorge Rathgeb Schifferli,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18100,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5673&prmFecha=201803
2018,3,5647,FUNDACION JAIME GUZMAN,700000,Rolando Rentería Moller,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18069,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5647&prmFecha=201803
2018,3,5707,FUNDACION NODO 21,700000,Camila Rojas Valderrama,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18142,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5707&prmFecha=201803
2018,3,5723,"CONSULTORA DE ASESORIA LEGISLATIVA, POLITICA Y JURIDICA CONSTRUYENDO FUTURO",700000,Jorge Sabag Villalobos,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18170,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5723&prmFecha=201803
2018,3,5677,LEONARDO BRUNO CONTRERAS NEIRA,700000,Marcela Sabat Fernández,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18105,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5677&prmFecha=201803
2018,3,5646,ASESORÍAS LEGISLATIVAS INTEGRALES SPA,700000,René Saffirio Espinoza,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18068,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5646&prmFecha=201803
2018,3,5648,FUNDACION JAIME GUZMAN,500000,Gustavo Sanhueza Dueñas,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18070,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5648&prmFecha=201803
2018,3,5671,NICOLAS DE LA CERDA COYA,700000,Marcelo Schilling Rodríguez,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18098,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5671&prmFecha=201803
2018,3,5657,JUAN CLAUDIO REYES SALDÍAS,700000,Gabriel Silber Romo,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18079,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5657&prmFecha=201803
2018,3,5684,FRANCO ELI PARDO CARVALLO,700000,Leonardo Soto Ferrada,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18112,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5684&prmFecha=201803
2018,3,5665,PAULINA GÓMEZ BARBOZA,700000,Raúl Soto Mardones,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18087,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5665&prmFecha=201803
2018,3,5690,INSTITUTO DE CIENCIAS ALEJANDRO LIPSCHUTZ (ICAL),700000,Guillermo Teillier Del Valle,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18120,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5690&prmFecha=201803
2018,3,5689,IVAN ANDRES BALIC NORAMBUENA,350000,Víctor Torres Jeldes,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18118,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5689&prmFecha=201803
2018,3,5649,FUNDACION JAIME GUZMAN,700000,Renzo Trisotti Martínez,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18071,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5649&prmFecha=201803
2018,3,5650,FUNDACION JAIME GUZMAN,700000,Ignacio Urrutia Bonilla,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18072,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5650&prmFecha=201803
2018,3,5651,FUNDACION JAIME GUZMAN,700000,Enrique Van Rysselberghe Herrera,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18073,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5651&prmFecha=201803
2018,3,5667,MARCELO ANDRÉS PÉREZ QUILAQUEO,350000,Pablo Vidal Rojas,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18090,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5667&prmFecha=201803
2018,3,5652,FUNDACION JAIME GUZMAN,500000,Gastón Von Muhlenbrock Zamora,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18074,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5652&prmFecha=201803
2018,4,5807,FUNDACION JAIME GUZMAN,500000,Jorge Alessandri Vergara,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18269,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5807&prmFecha=201804
2018,4,5880,CRISTIAN VILCHES ESCOBAR,1000000,René Alinco Bustos,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18363,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5880&prmFecha=201804
2018,4,5757,PAULINA GÓMEZ BARBOZA,1000000,Jenny Alvarez Vera,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18207,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5757&prmFecha=201804
2018,4,5808,FUNDACION JAIME GUZMAN,500000,Pedro Pablo Alvarez-Salamanca Ramírez,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18270,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5808&prmFecha=201804
2018,4,5789,FUNDACION JAIME GUZMAN,800000,Sandra Amar Mancilla,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18251,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5789&prmFecha=201804
2018,4,5670,MARCO ZEPEDA RISSO,1000000,Pepe Auth Stewart,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18097,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5670&prmFecha=201804
2018,4,5802,FUNDACION JAIME GUZMAN,500000,Nino Baltolu Rasera,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18264,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5802&prmFecha=201804
2018,4,5833,PATRICIA JOANNON VERGARA,1000000,Ramón Barros Montero,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18308,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5833&prmFecha=201804
2018,4,5765,FUNDACION JAIME GUZMAN,700000,Jaime Bellolio Avaria,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18216,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5765&prmFecha=201804
2018,4,5687,BONNIE MARQUEZ JEREZ,1000000,Bernardo Berger Fett,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18116,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5687&prmFecha=201804
2018,4,5811,FUNDACION JAIME GUZMAN,500000,Sergio Bobadilla Muñoz,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18273,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5811&prmFecha=201804
2018,4,5754,"FUNDACION DECIDE DEMOCRACIA, PODER Y TERRITORIO",500000,Gabriel Boric Font,Informe Parcial,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18203,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5754&prmFecha=201804
2018,4,5759,JANNA ALFONSO SAKALHA DÍAZ,500000,Jorge Brito Hasbún,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18209,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5759&prmFecha=201804
2018,4,5775,MARCELO ANDRÉS PÉREZ QUILAQUEO,500000,Jorge Brito Hasbún,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18230,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5775&prmFecha=201804
2018,4,5864,"NATALIA CARCAMO CATALAN",1000000,Miguel Angel Calisto Aguila,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18344,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5864&prmFecha=201804
2018,4,5794,FUNDACION JAIME GUZMAN,500000,Alvaro Carter Fernández,Informe Final,https://www.camara.cl/verDoc.aspx?prmTipo=DOCDETALLEASESORIA&prmId=18256,https://www.camara.cl/verDoc.aspx?prmTipo=FORMULARIOASESORIA&prmId=5794&prmFecha=201804
